event_params__ga_session_id,user_pseudo_id,session_duration_seconds,passed_10_min,session_start_time,customer_character_count,character_list,average_tier,average_wrong_answers,Wheel_Impression,Wheel_Skips,Wheel_Spins,Ads_Watched_Count,gold_starting,gold_gained,gold_spent,gold_delta,is_depted_for_doll,Potions_Bought,Incenses_Bought,Amulets_Bought,AliCin_Used,Cauldron_Used,Coffee_Used,last_event_name,last_event_time,bought_new_customer
10405.0,014a9f71a65bcf12833b30a9495f7e3c,489.0,False,2025-12-21 19:26:00+00:00,2,"['Cyra', 'Dax', 'Dax', 'Cyra', 'Dax', 'Cyra', 'Cyra']",3.142857142857143,0.8571428571428571,0,0,0,3,112.0,0.0,81.0,-81.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Question Completed,2025-12-21 19:34:09+00:00,0
10107.0,03b349744408705d8096df22c0a71ac6,571.0,False,2025-12-19 22:24:00+00:00,2,"['Dax', 'Cyra']",4.0,0.0,0,0,0,1,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Question Completed,2025-12-19 22:33:31+00:00,0
10106.0,03b349744408705d8096df22c0a71ac6,58.0,False,2025-12-20 01:05:00+00:00,2,"['Borin', 'Borin', 'Borin', 'Dax', 'Dax', 'Dax']",2.5,0.8333333333333334,0,0,0,2,133.0,0.0,80.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Question Completed,2025-12-20 01:05:58+00:00,0
10108.0,03b349744408705d8096df22c0a71ac6,375.0,False,2025-12-20 22:36:00+00:00,4,"['Dax', 'Dax', 'Borin', 'Cyra', 'Astra']",2.0,0.8,0,0,0,1,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Question Completed,2025-12-20 22:42:15+00:00,1
10105.0,03b349744408705d8096df22c0a71ac6,586.0,False,2025-12-21 18:48:00+00:00,2,"['Cyra', 'Astra']",3.5,2.0,0,0,0,0,1114.0,0.0,38.0,-38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Question Completed,2025-12-21 18:57:46+00:00,0
10067.0,06794f8086423959b62afd3d411c6e50,126.0,False,2025-12-12 10:43:00+00:00,2,"['Astra', 'Cyra', 'Astra', 'Cyra', 'Astra', 'Cyra', 'Astra']",2.142857142857143,0.14285714285714285,1,0,1,0,10.0,0.0,105.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Spent Virtual Currency,2025-12-12 10:45:06+00:00,0
10066.0,06794f8086423959b62afd3d411c6e50,850.0,True,2025-12-18 05:25:00+00:00,2,"['Astra', 'Astra', 'Astra', 'Astra', 'Cyra', 'Astra']",2.8333333333333335,1.0,0,0,0,4,220.0,0.0,108.0,-108.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Spent Virtual Currency,2025-12-18 05:39:10+00:00,0
10277.0,080c511a1e00cfb08b58f4f5a04ce09f,673.0,True,2025-12-21 00:10:00+00:00,1,"['Dax', 'Dax', 'Dax', 'Dax', 'Dax']",2.4,0.8,1,0,1,1,449.0,0.0,108.0,-108.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Question Completed,2025-12-21 00:21:13+00:00,0
10579.0,0830524dd9cf0031f731ed6049fa2ccb,643.0,True,2025-12-11 02:11:00+00:00,4,"['Astra', 'Borin', 'Dax', 'Dax', 'Cyra', 'Astra']",2.3333333333333335,0.5,0,0,0,2,494.0,0.0,480.0,-480.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,Spent Virtual Currency,2025-12-11 02:21:43+00:00,1
10339.0,086056c2c619d72bb0126a1ca2618cfc,201.0,False,2025-12-18 07:26:00+00:00,2,"['Cyra', 'Cyra', 'Dax', 'Dax']",1.25,1.5,0,0,0,0,304.0,0.0,295.0,-295.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Question Completed,2025-12-18 07:29:21+00:00,0
10338.0,086056c2c619d72bb0126a1ca2618cfc,707.0,True,2025-12-22 17:29:00+00:00,2,"['Astra', 'Astra', 'Astra', 'Dax']",2.25,2.0,1,0,1,1,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Question Completed,2025-12-22 17:40:47+00:00,0
10531.0,098e949e5f0d155979cb9ad3155377bc,188.0,False,2025-12-10 09:56:00+00:00,2,"['Cyra', 'Astra', 'Cyra', 'Astra', 'Cyra', 'Cyra', 'Astra']",2.4285714285714284,1.2857142857142858,1,0,1,1,612.0,0.0,406.0,-406.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Question Completed,2025-12-10 09:59:08+00:00,0
10532.0,098e949e5f0d155979cb9ad3155377bc,391.0,False,2025-12-21 18:54:00+00:00,3,"['Dax', 'Dax', 'Dax', 'Astra', 'Cyra']",2.8,1.4,0,0,0,0,927.0,0.0,434.0,-434.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Game Ended,2025-12-21 19:00:31+00:00,1
10304.0,0aeee8c1b6c81f8ff4812736fc9732f6,763.0,True,2025-12-22 17:00:00+00:00,2,"['Borin', 'Borin', 'Borin', 'Astra', 'Astra']",2.0,1.0,1,0,1,1,585.0,0.0,140.0,-140.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Question Completed,2025-12-22 17:12:43+00:00,0
10305.0,0aeee8c1b6c81f8ff4812736fc9732f6,57.0,False,2025-12-23 08:51:00+00:00,2,"['Cyra', 'Astra', 'Cyra', 'Astra', 'Astra']",3.4,1.0,0,0,0,0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Question Completed,2025-12-23 08:51:57+00:00,0
10169.0,0b34e3fc2453840372b6738ad1a51f77,396.0,False,2025-12-19 09:42:00+00:00,1,"['Borin', 'Borin']",2.0,0.0,0,0,0,0,281.0,0.0,49.0,-49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Question Completed,2025-12-19 09:48:36+00:00,0
10130.0,0b9e5cf5396f50321268390bee5d0698,321.0,False,2025-12-18 04:21:00+00:00,2,"['Dax', 'Dax', 'Astra', 'Astra', 'Dax', 'Astra', 'Dax']",1.4285714285714286,0.5714285714285714,1,0,1,3,569.0,0.0,643.0,-643.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Question Completed,2025-12-18 04:26:21+00:00,0
